size,aritybin,total count,ontology count
2,2,1488,59
2,4,1625,60
2,5,392,53
2,7,768,53
2,9,674,55
2,11,334,48
2,14,459,47
2,18,463,51
2,24,437,49
2,30,1684,56
3,2,2201,59
3,4,2696,64
3,5,616,52
3,7,1188,56
3,9,1406,53
3,11,646,49
3,14,976,51
3,18,674,47
3,24,732,45
3,30,1771,51
4,2,3029,61
4,4,4673,62
4,5,950,53
4,7,1995,49
4,9,1653,49
4,11,895,45
4,14,1238,43
4,18,989,43
4,24,562,40
4,30,1045,47
5,2,5117,58
5,4,5468,52
5,5,1194,48
5,7,2526,52
5,9,1744,45
5,11,740,37
5,14,750,39
5,18,562,39
5,24,325,35
5,30,469,31
6,2,5525,50
6,4,4899,51
6,5,1071,38
6,7,1739,41
6,9,1070,37
6,11,381,34
6,14,308,25
6,18,261,25
6,24,220,22
6,30,264,20
7,2,3501,47
7,4,3906,44
7,5,718,30
7,7,884,31
7,9,566,26
7,11,300,22
7,14,339,20
7,18,176,17
7,24,114,14
7,30,72,11
8,2,2957,39
8,4,2648,34
8,5,527,22
8,7,730,25
8,9,404,18
8,11,172,14
8,14,131,13
8,18,60,12
8,24,30,7
8,30,19,5
9,2,2027,31
9,4,1852,27
9,5,308,14
9,7,376,18
9,9,153,13
9,11,53,5
9,14,35,6
9,18,23,6
9,24,6,3
9,30,10,3
10,2,1353,22
10,4,1010,21
10,5,128,8
10,7,121,10
10,9,72,6
10,11,23,4
10,14,17,4
10,18,11,2
10,24,8,4
10,30,3,1
11,2,751,18
11,4,474,15
11,5,71,7
11,7,91,4
11,9,30,4
11,11,14,3
11,14,16,3
11,18,5,2
11,24,1,1
11,30,6,1
12,2,416,16
12,4,257,10
12,5,42,4
12,7,55,3
12,9,21,4
12,11,10,4
12,14,9,2
12,18,3,1
12,24,4,1
12,30,1,1
13,2,221,9
13,4,182,5
13,5,38,4
13,7,31,2
13,9,14,3
13,11,3,1
13,14,3,2
13,18,3,1
14,2,162,7
14,4,115,4
14,5,18,2
14,7,14,3
14,9,3,1
14,11,1,1
14,14,3,1
14,18,1,1
15,2,90,4
15,4,59,3
15,5,3,1
15,9,2,1
15,11,8,1
16,2,50,5
16,4,13,2
16,9,8,1
16,11,3,1
16,14,1,1
17,2,18,2
17,4,1,1
17,7,3,1
17,9,8,1
17,11,5,1
18,2,3,2
18,4,1,1
18,5,1,1
18,7,5,1
18,9,12,1
18,11,4,1
19,2,2,1
19,4,4,1
19,5,1,1
19,7,13,1
19,9,14,1
20,4,8,2
20,5,1,1
20,7,30,1
20,9,2,1
21,2,8,1
21,4,4,1
21,5,19,1
21,7,8,1
22,2,2,1
22,4,11,1
22,7,12,1
23,2,5,2
23,4,2,1
23,5,19,1
24,2,1,1
24,4,24,1
25,2,5,1
25,4,15,1
26,2,6,1
34,2,1,1
